TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
a_a012514,A03,a012514,2;4;11;1;9;,2022-10-27,2022-10-30,자가용,,2;4;11;1;9;,11;6;4
a_a004075,A03,a004075,23;3;,2022-10-08,2022-10-10,대중교통 등,수도권 거주 40세 이상 커플,23;3;,3;23;6
a_a002201,A03,a002201,1;12;2;22;8;,2022-09-23,2022-09-25,자가용,수도권 거주 39세 이하 커플,1;12;2;22;8;,8;2;22
a_a004198,A01,a004198,1;24;28;3;7;,2022-10-14,2022-10-17,대중교통 등,,1;24;28;3;7;,6;11;9
a_a000990,A01,a000990,23;28;3;4;6;,2022-08-27,2022-08-30,대중교통 등,,23;28;3;4;6;,6;4;28
a_a001591,A03,a001591,22;5;8;,2022-09-03,2022-09-05,대중교통 등,수도권 거주 39세 이하 3인 이상 친구,22;5;8;,5;8;22
a_a000130,A03,a000130,1;2;3;6;9;,2022-08-08,2022-08-09,자가용,수도권 거주 40세 이상 부부,1;,24;1;6
a_a002260,A01,a002260,3;6;9;,2022-09-23,2022-09-25,대중교통 등,수도권 외 거주 39세 이하 커플,3;6;9;,6;1;4
a_a001729,A03,a001729,12;22;3;6;7;,2022-09-17,2022-09-19,대중교통 등,,12;22;3;6;7;,3;22;12
a_a004296,A02,a004296,21;24;6;,2022-10-18,2022-10-19,,,21;24;6;,6;21;27
a_a007185,A03,a007185,1;12;22;24;26;,2022-10-15,2022-10-16,자가용,,1;12;22;24;26;,22;26;2
a_a007865,A02,a007865,1;21;3;6;,2022-10-16,2022-10-17,자가용,수도권 거주 40세 이상 자녀 동반,1;21;3;6;,1;3;22
a_a004335,A01,a004335,3;,2022-10-14,2022-10-15,,,3;,3;4;28
a_a006889,A02,a006889,24;27;9;1;21;22;21;27;24;7;,2022-10-09,2022-10-10,대중교통 등,,24;27;9;1;21;22;21;27;24;7;,24;9;5
a_a000177,A03,a000177,2;21;22;26;,2022-08-15,2022-08-16,자가용,수도권 거주 39세 이하 자녀 동반,2;,6;11;24
a_a013688,A01,a013688,22;24;3;6;7;,2022-10-28,2022-10-31,자가용,,22;24;3;6;7;,6;24;3
a_a008092,A03,a008092,2;,2022-10-16,2022-10-17,자가용,수도권 거주 39세 이하 3인 이상 친구,2;,2;22;1
b_b002933,A03,b002933,26;3;5;8;,2022-08-24,2022-08-26,자가용,,26;3;5;8;,5;3;26
a_a017657,A03,a017657,22;26;,2022-11-11,2022-11-12,,,22;26;,21;26;3
a_a017513,A01,a017513,11;11;26;,2022-11-11,2022-11-12,,수도권 외 거주 39세 이하 커플,11;11;26;,6;11;26
a_a000134,A01,a000134,1;6;,2022-08-19,2022-08-22,대중교통 등,,1;,1;3;6
c_c005193,A01,c005193,6;22;6;27;1;,2022-10-29,2022-10-30,대중교통 등,,6;22;6;27;1;,6;22;27
a_a017941,A01,a017941,1;22;,2022-11-11,2022-11-12,,,1;22;,1;22;26
a_a006814,A03,a006814,8;22;,2022-10-24,2022-10-25,,,8;22;,22;24;2
a_a003525,A01,a003525,1;2;22;6;8;,2022-10-22,2022-10-24,자가용,수도권 거주 39세 이하 커플,1;2;22;6;8;,23;24;6
a_a000471,A01,a000471,1;2;3;4;6;,2022-09-04,2022-09-06,대중교통 등,,1;2;3;4;6;,6;23;22
a_a001976,A03,a001976,22;25;3;6;7;,2022-09-24,2022-09-26,대중교통 등,,22;25;3;6;7;,6;3;22
a_a005137,A03,a005137,22;24;28;,2022-10-08,2022-10-09,,,22;24;28;,28;5;6
a_a007382,A03,a007382,3;,2022-10-13,2022-10-14,,,3;,3;6;1
a_a011575,A01,a011575,21;22;23;26;6;,2022-10-27,2022-10-29,대중교통 등,,21;22;23;26;6;,22;3;21
a_a005633,A01,a005633,1;12;22;3;4;,2022-10-08,2022-10-09,,수도권 거주 39세 이하 커플,1;12;22;3;4;,1;3;12
a_a004089,A03,a004089,2;22;5;,2022-10-02,2022-10-04,대중교통 등,,2;22;5;,2;5;22
a_a008121,A01,a008121,1;22;23;24;4;,2022-10-28,2022-10-30,자가용,,1;22;23;24;4;,2;3;1
a_a012193,A01,a012193,1;22;24;27;4;,2022-10-30,2022-11-01,자가용,,1;22;24;27;4;,1;9;28
a_a009685,A01,a009685,1;4;1;,2022-11-01,2022-11-03,대중교통 등,,1;4;1;,1;4;7
a_a002558,A01,a002558,11;4;6;,2022-09-24,2022-09-25,자가용,,11;4;6;,3;4;21
a_a002699,A03,a002699,8;,2022-09-20,2022-09-22,자가용,,8;,8;12;5
a_a003160,A03,a003160,2;5;,2022-09-25,2022-09-26,자가용,,2;5;,2;5;21
a_a009646,A02,a009646,1;22;6;,2022-10-22,2022-10-23,대중교통 등,,1;22;6;,1;6;22
a_a002324,A03,a002324,12;21;22;24;26;,2022-09-24,2022-09-25,대중교통 등,,12;21;22;24;26;,22;9;12
a_a007559,A03,a007559,1;21;22;24;6;,2022-11-01,2022-11-02,자가용,,1;21;22;24;6;,2;22;3
a_a007584,A01,a007584,1;4;6;,2022-10-29,2022-10-30,,수도권 거주 39세 이하 커플,1;4;6;,6;4;1
a_a006114,A01,a006114,1;12;4;,2022-10-03,2022-10-04,대중교통 등,,1;12;4;,1;3;4
a_a002246,A01,a002246,1;21;26;4;7;,2022-09-16,2022-09-18,대중교통 등,,1;21;26;4;7;,26;21;4
a_a007473,A03,a007473,2;9;1;,2022-10-23,2022-10-24,자가용,,2;9;1;,2;5;6
a_a001057,A03,a001057,10;22;23;5;,2022-08-28,2022-08-30,자가용,수도권 거주 39세 이하 자녀 동반,10;22;23;5;,5;10;23
a_a011577,A03,a011577,1;25;3;4;,2022-10-28,2022-10-29,자가용,수도권 거주 39세 이하 부부,1;25;3;4;,1;25;26
a_a000293,A03,a000293,21;22;23;24;5;,2022-08-17,2022-08-20,자가용,수도권 거주 40세 이상 3인 이상 친구,21;22;23;24;5;,8;5;6
a_a004146,A01,a004146,22;28;5;6;,2022-10-15,2022-10-17,대중교통 등,,22;28;5;6;,5;7;28
a_a006435,A03,a006435,4;5;9;28;26;22;1;,2022-10-09,2022-10-10,자가용,,4;5;9;28;26;22;1;,1;4;22
a_a002040,A03,a002040,1;21;22;4;6;,2022-09-09,2022-09-10,대중교통 등,,1;21;22;4;6;,6;22;4
a_a004291,A01,a004291,4;6;,2022-10-16,2022-10-17,,수도권 거주 39세 이하 커플,4;6;,4;6;3
a_a003693,A01,a003693,1;6;,2022-10-08,2022-10-11,대중교통 등,,1;6;,1;10;6
a_a008491,A03,a008491,1;2;3;4;5;,2022-10-28,2022-10-31,대중교통 등,,1;2;3;4;5;,6;1;3
a_a017653,A03,a017653,1;21;,2022-11-11,2022-11-12,,,1;21;,1;6;21
a_a003636,A03,a003636,1;27;3;4;,2022-09-29,2022-09-30,대중교통 등,,1;27;3;4;,27;3;6
a_a002984,A03,a002984,1;21;22;28;,2022-09-24,2022-09-26,대중교통 등,,1;21;22;28;,28;22;26
a_a011446,A01,a011446,1;22;24;4;,2022-10-29,2022-10-31,자가용,,1;22;24;4;,1;4;9
a_a017916,A01,a017916,6;,2022-11-13,2022-11-14,,수도권 거주 39세 이하 커플,6;,1;6;22
a_a014228,A01,a014228,1;4;13;27;3;,2022-10-30,2022-11-01,대중교통 등,,1;4;13;27;3;,1;3;6
a_a000268,A03,a000268,1;23;3;,2022-08-24,2022-08-27,자가용,수도권 거주 40세 이상 부부,1;23;3;,1;3;23
a_a007959,A03,a007959,2;21;6;,2022-10-14,2022-10-15,,,2;21;6;,2;21;6
a_a002941,A03,a002941,10;12;22;8;,2022-09-26,2022-09-29,자가용,,10;12;22;8;,10;22;8
a_a002128,A02,a002128,2;22;4;6;,2022-09-17,2022-09-18,자가용,수도권 거주 39세 이하 자녀 동반,2;22;4;6;,2;22;6
a_a007204,A03,a007204,1;,2022-10-15,2022-10-16,,수도권 거주 39세 이하 커플,1;,1;26;6
a_a002162,A03,a002162,3;4;,2022-09-19,2022-09-20,대중교통 등,수도권 거주 40세 이상 나홀로,3;4;,2;4;6
a_a000448,A01,a000448,1;12;21;22;23;,2022-08-26,2022-08-29,대중교통 등,,1;12;21;22;23;,1;12;23
a_a000736,A03,a000736,2;22;26;27;6;,2022-08-21,2022-08-22,자가용,,2;22;26;27;6;,21;6;2
a_a005214,A03,a005214,2;22;24;5;,2022-10-23,2022-10-24,자가용,,2;22;24;5;,5;22;2
c_c003316,A03,c003316,28;,2022-10-07,2022-10-09,대중교통 등,,28;,21;28;9
a_a004246,A03,a004246,1;2;22;3;7;,2022-10-02,2022-10-04,자가용,수도권 거주 39세 이하 커플,1;2;22;3;7;,22;2;3
a_a001351,A03,a001351,1;2;21;5;7;,2022-08-26,2022-08-29,자가용,수도권 거주 39세 이하 커플,1;2;21;5;7;,5;21;7
a_a004990,A03,a004990,12;21;22;3;,2022-10-06,2022-10-07,자가용,수도권 거주 40세 이상 부부,12;21;22;3;,2;9;22
a_a005777,A03,a005777,1;26;,2022-10-09,2022-10-10,자가용,,1;26;,1;26;22
a_a001513,A01,a001513,1;23;3;4;7;,2022-08-28,2022-08-31,자가용,,1;23;3;4;7;,23;1;3
a_a018149,A03,a018149,1;,2022-11-13,2022-11-14,,수도권 거주 39세 이하 자녀 동반,1;,1;22;26
a_a005703,A03,a005703,11;11;,2022-10-16,2022-10-17,자가용,,11;11;,11;8;24
a_a003014,A03,a003014,13;21;22;8;,2022-09-23,2022-09-26,자가용,수도권 거주 39세 이하 자녀 동반,13;21;22;8;,8;21;3
a_a002819,A03,a002819,11;2;22;4;6;,2022-09-27,2022-09-30,자가용,수도권 거주 39세 이하 자녀 동반,11;2;22;4;6;,2;6;4
a_a004527,A03,a004527,1;6;9;,2022-10-01,2022-10-02,대중교통 등,,1;6;9;,2;6;9
a_a002331,A03,a002331,10;11;5;7;9;,2022-09-17,2022-09-18,자가용,,10;11;5;7;9;,3;13;22
a_a003380,A03,a003380,1;23;28;5;6;,2022-10-11,2022-10-12,자가용,,1;23;28;5;6;,22;1;24
a_a002864,A03,a002864,3;6;,2022-09-24,2022-09-25,대중교통 등,수도권 거주 40세 이상 나홀로,3;6;,3;9;6
d_d000959,A03,d000959,2;22;23;,2022-09-01,2022-09-04,자가용,40세 이상 자녀 동반 여행,2;22;23;,23;2;11
a_a009501,A01,a009501,22;6;,2022-10-16,2022-10-17,대중교통 등,수도권 거주 39세 이하 커플,22;6;,22;9;4
a_a003659,A01,a003659,1;3;4;6;9;,2022-10-28,2022-10-31,자가용,수도권 외 거주 39세 이하 커플,1;3;4;6;9;,1;9;4
a_a002892,A03,a002892,22;27;,2022-09-25,2022-09-27,대중교통 등,,22;27;,3;27;28
a_a000851,A01,a000851,21;25;26;3;4;,2022-08-20,2022-08-22,자가용,,21;25;26;3;4;,6;3;25
a_a000383,A03,a000383,22;,2022-08-19,2022-08-21,자가용,,22;,22;24;8
a_a004265,A03,a004265,28;,2022-10-01,2022-10-02,,,28;,28;27;9
a_a002752,A01,a002752,1;22;26;6;,2022-10-03,2022-10-04,대중교통 등,수도권 거주 39세 이하 커플,1;22;26;6;,24;4;22
a_a000740,A01,a000740,1;2;21;3;6;,2022-08-19,2022-08-21,대중교통 등,,1;2;21;3;6;,4;1;22
a_a010249,A03,a010249,21;23;24;27;28;,2022-10-22,2022-10-24,자가용,,21;23;24;27;28;,6;23;4
c_c005060,A03,c005060,28;,2022-10-03,2022-10-04,,,28;,2;3;1
a_a000201,A01,a000201,1;,2022-08-19,2022-08-22,대중교통 등,수도권 외 거주 39세 이하 커플,1;,6;3;22
a_a001649,A01,a001649,28;3;,2022-09-24,2022-09-26,자가용,,28;3;,1;3;28
a_a002108,A03,a002108,11;12;22;3;4;,2022-09-16,2022-09-18,대중교통 등,,11;12;22;3;4;,3;11;22
a_a018158,A01,a018158,1;22;26;4;,2022-11-12,2022-11-13,,,1;22;26;4;,1;22;26
a_a004726,A03,a004726,2;3;11;5;27;26;,2022-10-10,2022-10-11,자가용,,2;3;11;5;27;26;,2;5;26
a_a000279,A03,a000279,22;24;5;8;,2022-09-02,2022-09-05,자가용,,22;24;5;8;,8;24;27
a_a003317,A01,a003317,1;11;21;3;6;,2022-10-01,2022-10-04,대중교통 등,,1;11;21;3;6;,26;21;11
a_a001750,A01,a001750,1;2;4;6;7;,2022-09-23,2022-09-25,자가용,수도권 외 거주 39세 이하 커플,1;2;4;6;7;,26;9;6
a_a017841,A03,a017841,4;6;9;11;24;,2022-11-12,2022-11-13,,,4;6;9;11;24;,2;6;24
a_a004711,A03,a004711,2;26;27;,2022-10-01,2022-10-02,대중교통 등,수도권 거주 39세 이하 3인 이상 친구,2;26;27;,26;12;27
a_a002157,A02,a002157,24;26;3;,2022-09-17,2022-09-18,대중교통 등,,24;26;3;,2;6;26
a_a015323,A03,a015323,22;26;4;,2022-11-05,2022-11-07,대중교통 등,,22;26;4;,4;22;26
a_a006487,A03,a006487,1;,2022-10-08,2022-10-09,대중교통 등,,1;,1;6;22
a_a007770,A03,a007770,1;22;4;,2022-11-06,2022-11-07,자가용,수도권 거주 39세 이하 커플,1;22;4;,5;22;1
a_a010558,A03,a010558,10;,2022-10-23,2022-10-24,자가용,,10;,10;1;23
a_a010288,A01,a010288,2;3;6;8;9;,2022-10-28,2022-10-31,자가용,,2;3;6;8;9;,6;3;22
a_a009428,A01,a009428,1;2;22;23;4;,2022-10-24,2022-10-27,대중교통 등,수도권 외 거주 39세 이하 커플,1;2;22;23;4;,2;4;23
a_a003394,A03,a003394,2;21;,2022-09-25,2022-09-26,자가용,,2;21;,2;21;12
a_a006809,A01,a006809,22;,2022-10-15,2022-10-16,,,22;,22;28;9
a_a006434,A03,a006434,1;21;23;26;27;,2022-10-07,2022-10-08,자가용,,1;21;23;26;27;,27;12;6
a_a007344,A03,a007344,1;2;3;5;6;,2022-10-16,2022-10-17,,,1;2;3;5;6;,3;27;28
a_a004318,A03,a004318,8;,2022-10-02,2022-10-03,,수도권 거주 40세 이상 자녀 동반,8;,25;2;3
a_a000574,A03,a000574,27;3;6;7;9;,2022-08-26,2022-08-29,대중교통 등,,27;3;6;7;9;,9;7;27
a_a002070,A03,a002070,1;22;3;,2022-09-24,2022-09-25,자가용,,1;22;3;,3;1;22
a_a006293,A03,a006293,22;3;4;,2022-10-29,2022-10-30,,,22;3;4;,3;22;4
a_a017876,A03,a017876,21;24;27;,2022-11-12,2022-11-13,,,21;24;27;,1;21;24
a_a007652,A03,a007652,1;22;,2022-10-31,2022-11-01,,,1;22;,22;28;21
a_a011069,A01,a011069,22;4;6;7;,2022-10-22,2022-10-24,대중교통 등,,22;4;6;7;,6;1;12
a_a006821,A01,a006821,11;12;21;26;9;,2022-11-04,2022-11-05,대중교통 등,,11;12;21;26;9;,6;26;21
a_a017570,A01,a017570,1;,2022-11-11,2022-11-12,,,1;,1;22;26
a_a014234,A01,a014234,1;23;4;7;9;,2022-10-29,2022-11-01,자가용,수도권 거주 39세 이하 커플,1;23;4;7;9;,7;9;4
a_a004821,A01,a004821,6;9;,2022-10-01,2022-10-02,대중교통 등,,6;9;,6;9;1
a_a000444,A01,a000444,1;,2022-09-03,2022-09-05,대중교통 등,수도권 외 거주 39세 이하 커플,1;,1;6;4
a_a000150,A03,a000150,22;5;6;8;,2022-08-06,2022-08-08,자가용,수도권 거주 39세 이하 3인 이상 친구,5;,22;5;8
a_a006022,A03,a006022,28;,2022-10-04,2022-10-05,,,28;,28;24;26
a_a004669,A02,a004669,1;6;9;,2022-10-02,2022-10-03,,,1;6;9;,6;9;1
a_a008050,A01,a008050,1;6;,2022-10-13,2022-10-14,,,1;6;,6;1;4
a_a000930,A03,a000930,12;21;22;26;8;,2022-08-26,2022-08-28,자가용,,12;21;22;26;8;,8;22;21
a_a000793,A01,a000793,1;21;26;4;7;,2022-09-01,2022-09-05,대중교통 등,,1;21;26;4;7;,6;1;21
a_a004321,A03,a004321,3;9;,2022-10-08,2022-10-09,,수도권 거주 40세 이상 자녀 동반,3;9;,3;6;9
a_a006408,A03,a006408,1;3;4;9;21;22;26;27;,2022-10-15,2022-10-16,자가용,수도권 거주 39세 이하 3인 이상 친구,1;3;4;9;21;22;26;27;,2;24;26
a_a007651,A03,a007651,9;22;,2022-10-16,2022-10-17,,,9;22;,22;9;6
a_a007774,A01,a007774,1;21;22;26;3;,2022-10-20,2022-10-21,대중교통 등,,1;21;22;26;3;,26;22;1
a_a001546,A03,a001546,10;2;22;23;7;,2022-09-04,2022-09-06,자가용,,10;2;22;23;7;,23;22;7
a_a002366,A03,a002366,8;,2022-09-18,2022-09-20,자가용,,8;,8;1;10
a_a000396,A01,a000396,1;10;2;7;9;,2022-09-04,2022-09-07,대중교통 등,수도권 외 거주 39세 이하 커플,1;10;2;7;9;,1;2;24
a_a011777,A03,a011777,1;21;22;28;5;,2022-10-26,2022-10-28,자가용,,1;21;22;28;5;,28;21;26
a_a003921,A01,a003921,1;2;22;3;,2022-10-08,2022-10-11,대중교통 등,수도권 외 거주 39세 이하 커플,1;2;22;3;,23;1;22
a_a004061,A01,a004061,1;2;22;23;4;,2022-10-08,2022-10-11,자가용,,1;2;22;23;4;,4;22;1
a_a000014,A03,a000014,10;2;3;5;8;,2022-08-14,2022-08-16,자가용,,8;,21;3;6
a_a017870,A01,a017870,1;22;22;4;1;6;,2022-11-12,2022-11-13,,,1;22;22;4;1;6;,1;4;26
a_a012504,A01,a012504,1;6;21;22;10;24;26;2;,2022-11-03,2022-11-05,대중교통 등,,1;6;21;22;10;24;26;2;,6;22;1
a_a003927,A02,a003927,1;12;2;4;7;,2022-10-14,2022-10-17,대중교통 등,수도권 거주 39세 이하 부부,1;12;2;4;7;,2;7;23
a_a006574,A01,a006574,1;4;5;6;7;,2022-10-09,2022-10-10,대중교통 등,,1;4;5;6;7;,7;4;6
a_a006498,A01,a006498,1;22;26;6;,2022-10-09,2022-10-10,대중교통 등,,1;22;26;6;,6;26;22
a_a005924,A03,a005924,11;2;24;3;9;,2022-10-02,2022-10-03,자가용,,11;2;24;3;9;,6;9;11
a_a012042,A03,a012042,1;13;2;22;3;,2022-10-31,2022-11-01,자가용,,1;13;2;22;3;,3;13;1
a_a007035,A01,a007035,6;,2022-10-19,2022-10-20,대중교통 등,,6;,6;1;7
a_a017835,A03,a017835,24;26;27;,2022-11-11,2022-11-12,,,24;26;27;,1;21;26
a_a006438,A01,a006438,9;,2022-10-08,2022-10-09,대중교통 등,,9;,9;6;22
a_a005399,A01,a005399,27;3;6;,2022-10-01,2022-10-03,자가용,,27;3;6;,5;27;22
a_a001901,A03,a001901,1;2;3;4;6;,2022-09-09,2022-09-11,대중교통 등,수도권 거주 39세 이하 커플,1;2;3;4;6;,3;4;23
a_a000657,A01,a000657,12;13;22;3;4;,2022-08-27,2022-08-29,자가용,,12;13;22;3;4;,3;4;23
a_a008084,A01,a008084,1;4;6;7;9;,2022-10-28,2022-10-31,대중교통 등,,1;4;6;7;9;,2;7;26
a_a008134,A03,a008134,1;22;,2022-10-15,2022-10-16,자가용,,1;22;,1;22;26
a_a011641,A03,a011641,1;5;10;22;26;,2022-10-26,2022-10-27,대중교통 등,,1;5;10;22;26;,10;22;1
a_a000082,A01,a000082,1;2;22;23;24;,2022-08-11,2022-08-14,대중교통 등,수도권 외 거주 39세 이하 커플,2;,23;6;2
a_a006296,A03,a006296,1;24;4;,2022-10-22,2022-10-23,,수도권 거주 39세 이하 커플,1;24;4;,24;4;1
a_a017855,A01,a017855,6;,2022-11-11,2022-11-12,,,6;,6;1;4
a_a006499,A03,a006499,6;1;22;6;22;26;,2022-10-15,2022-10-16,대중교통 등,수도권 거주 40세 이상 나홀로,6;1;22;6;22;26;,1;6;9
a_a015683,A02,a015683,2;21;22;24;26;,2022-11-02,2022-11-04,대중교통 등,수도권 거주 39세 이하 커플,2;21;22;24;26;,21;22;26
a_a009440,A01,a009440,21;,2022-10-28,2022-10-31,대중교통 등,,21;,21;13;4
a_a000338,A01,a000338,1;,2022-08-24,2022-08-26,대중교통 등,수도권 외 거주 39세 이하 커플,1;,1;3;6
a_a005784,A02,a005784,27;6;,2022-10-28,2022-10-29,자가용,,27;6;,6;27;1
a_a006949,A03,a006949,2;3;6;11;22;21;26;27;24;,2022-10-16,2022-10-17,자가용,수도권 거주 39세 이하 자녀 동반,2;3;6;11;22;21;26;27;24;,1;3;22
a_a006979,A03,a006979,22;,2022-10-11,2022-10-12,대중교통 등,,22;,22;9;21
a_a005608,A01,a005608,6;,2022-10-22,2022-10-23,,,6;,6;7;4
a_a003329,A03,a003329,12;2;22;,2022-10-03,2022-10-05,자가용,수도권 거주 39세 이하 자녀 동반,12;2;22;,2;22;6
a_a007336,A03,a007336,21;22;,2022-10-16,2022-10-17,,,21;22;,21;22;27
a_a000351,A03,a000351,13;21;3;,2022-08-24,2022-08-25,대중교통 등,수도권 거주 40세 이상 나홀로,13;21;3;,13;3;21
a_a007768,A03,a007768,2;,2022-10-15,2022-10-16,대중교통 등,수도권 거주 39세 이하 커플,2;,2;24;26
a_a007829,A01,a007829,1;10;2;22;5;,2022-10-27,2022-10-28,자가용,수도권 거주 39세 이하 커플,1;10;2;22;5;,5;4;1
a_a005546,A03,a005546,24;27;4;8;,2022-10-09,2022-10-11,대중교통 등,,24;27;4;8;,6;23;4
a_a008096,A03,a008096,8;22;26;,2022-10-16,2022-10-18,자가용,,8;22;26;,8;22;26
a_a005165,A03,a005165,2;,2022-10-10,2022-10-11,,수도권 거주 39세 이하 커플,2;,2;1;6
a_a001105,A03,a001105,2;22;8;,2022-09-03,2022-09-05,자가용,수도권 외 거주 39세 이하 3인 이상 친구,2;22;8;,2;22;21
a_a006472,A03,a006472,2;,2022-10-10,2022-10-11,자가용,수도권 거주 39세 이하 커플,2;,22;2;1
a_a014139,A03,a014139,1;2;3;6;9;,2022-10-31,2022-11-01,자가용,수도권 거주 39세 이하 커플,1;2;3;6;9;,4;6;21
a_a002691,A03,a002691,21;,2022-10-01,2022-10-03,자가용,,21;,21;6;2
a_a007325,A01,a007325,1;,2022-10-13,2022-10-14,,,1;,1;4;22
a_a004755,A03,a004755,6;9;,2022-10-01,2022-10-02,자가용,수도권 거주 39세 이하 3인 이상 친구,6;9;,9;6;24
a_a002833,A03,a002833,11;2;22;3;6;,2022-09-27,2022-09-28,대중교통 등,,11;2;22;3;6;,4;2;21
a_a002279,A03,a002279,22;8;,2022-09-17,2022-09-18,자가용,수도권 거주 40세 이상 자녀 동반,22;8;,8;22;24
a_a017874,A02,a017874,3;,2022-11-10,2022-11-11,,,3;,3;6;4
a_a002571,A01,a002571,1;11;3;4;5;,2022-10-02,2022-10-03,자가용,,1;11;3;4;5;,3;1;11
a_a004756,A01,a004756,2;4;6;12;22;24;3;,2022-10-28,2022-10-30,대중교통 등,수도권 외 거주 39세 이하 커플,2;4;6;12;22;24;3;,2;4;22
a_a004976,A01,a004976,1;22;26;6;9;,2022-10-08,2022-10-09,자가용,수도권 외 거주 39세 이하 커플,1;22;26;6;9;,9;22;1
a_a007268,A03,a007268,2;22;,2022-10-12,2022-10-13,,,2;22;,2;22;9
a_a000935,A01,a000935,1;22;23;5;6;,2022-09-03,2022-09-05,대중교통 등,,1;22;23;5;6;,2;23;26
a_a001371,A03,a001371,24;25;26;27;28;,2022-09-03,2022-09-04,자가용,,24;25;26;27;28;,3;27;28
a_a000296,A03,a000296,2;23;,2022-08-30,2022-09-01,자가용,수도권 거주 39세 이하 자녀 동반,2;23;,2;11;6
a_a002826,A03,a002826,21;24;27;4;7;,2022-09-24,2022-09-26,자가용,,21;24;27;4;7;,8;21;6
a_a002978,A01,a002978,1;22;26;4;,2022-09-25,2022-09-26,대중교통 등,,1;22;26;4;,1;4;26
a_a003183,A03,a003183,10;2;22;23;24;,2022-09-24,2022-09-26,자가용,,10;2;22;23;24;,1;22;24
a_a007653,A03,a007653,2;22;26;,2022-10-16,2022-10-17,,수도권 거주 39세 이하 커플,2;22;26;,2;22;27
a_a005320,A03,a005320,1;4;24;21;22;1;,2022-10-02,2022-10-03,자가용,,1;4;24;21;22;1;,1;4;21
a_a000951,A01,a000951,1;2;3;4;6;,2022-08-31,2022-09-03,대중교통 등,,1;2;3;4;6;,6;3;23
a_a004273,A03,a004273,22;26;4;,2022-10-01,2022-10-02,,수도권 거주 40세 이상 커플,22;26;4;,22;26;21
a_a010985,A03,a010985,2;21;22;26;27;,2022-10-28,2022-10-29,자가용,,2;21;22;26;27;,22;21;26
a_a000314,A03,a000314,2;24;27;3;4;,2022-08-17,2022-08-23,자가용,,2;24;27;3;4;,3;6;24
a_a003543,A01,a003543,22;23;26;4;7;,2022-10-29,2022-10-31,대중교통 등,수도권 외 거주 39세 이하 커플,22;23;26;4;7;,26;7;22
a_a000334,A03,a000334,21;23;26;,2022-08-19,2022-08-21,자가용,,21;23;26;,22;23;26
a_a000912,A03,a000912,10;22;26;,2022-08-22,2022-08-24,자가용,,10;22;26;,5;22;10
a_a005166,A03,a005166,1;22;26;,2022-10-09,2022-10-10,,수도권 거주 39세 이하 자녀 동반,1;22;26;,1;27;22
a_a002902,A02,a002902,1;23;4;,2022-09-24,2022-09-26,자가용,수도권 거주 40세 이상 자녀 동반,1;23;4;,23;4;1
a_a002055,A01,a002055,3;4;6;9;,2022-09-11,2022-09-13,대중교통 등,,3;4;6;9;,3;6;4
a_a013881,A01,a013881,4;9;6;22;1;28;27;,2022-10-29,2022-11-01,대중교통 등,,4;9;6;22;1;28;27;,6;27;4
a_a000122,A01,a000122,1;11;2;3;,2022-08-09,2022-08-12,자가용,,1;,3;11;1
a_a003919,A03,a003919,24;26;27;28;6;,2022-10-08,2022-10-10,자가용,,24;26;27;28;6;,1;6;22
a_a018218,A03,a018218,2;,2022-11-11,2022-11-12,,,2;,2;22;28
a_a000080,A01,a000080,1;2;3;4;6;,2022-08-09,2022-08-17,대중교통 등,수도권 외 거주 39세 이하 커플,1;,1;4;6
a_a006027,A03,a006027,28;,2022-10-05,2022-10-06,,,28;,28;5;1
a_a007124,A03,a007124,21;5;,2022-10-10,2022-10-11,자가용,,21;5;,5;21;22
a_a001923,A03,a001923,12;22;3;6;,2022-09-20,2022-09-22,대중교통 등,수도권 거주 40세 이상 나홀로,12;22;3;6;,12;26;6
a_a011423,A01,a011423,1;22;26;4;9;,2022-10-28,2022-10-30,자가용,수도권 외 거주 39세 이하 커플,1;22;26;4;9;,4;22;9
a_a002301,A03,a002301,26;,2022-10-01,2022-10-02,자가용,,26;,26;24;8
a_a002018,A01,a002018,22;24;26;27;28;,2022-09-18,2022-09-20,대중교통 등,,22;24;26;27;28;,27;22;23
a_a005204,A02,a005204,3;4;6;,2022-10-08,2022-10-09,,수도권 거주 40세 이상 커플,3;4;6;,4;3;6
a_a008166,A02,a008166,4;3;23;27;22;,2022-10-27,2022-10-28,자가용,수도권 거주 40세 이상 3인 이상 친구,4;3;23;27;22;,1;3;13
a_a017976,A03,a017976,3;4;12;13;22;,2022-11-13,2022-11-14,,,3;4;12;13;22;,22;21;6
a_a017776,A03,a017776,1;22;,2022-11-09,2022-11-10,,,1;22;,1;2;6
a_a011392,A03,a011392,22;26;8;,2022-10-29,2022-10-31,자가용,,22;26;8;,8;22;26
a_a017931,A01,a017931,1;22;,2022-11-11,2022-11-12,,수도권 외 거주 39세 이하 커플,1;22;,22;1;24
a_a003016,A01,a003016,13;21;22;27;7;,2022-10-02,2022-10-05,대중교통 등,,13;21;22;27;7;,21;3;7
a_a017818,A02,a017818,1;22;4;6;,2022-11-11,2022-11-12,,수도권 거주 39세 이하 커플,1;22;4;6;,1;4;22
