TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
a006548,41,남,20,7,1,1,2,3,,4,7,3,3,42,42150,26,26350,41,41110,3,2,5,3,1,2,3,2,경기도,서울,2인 여행(가족 외),2022-10-15~2022-10-15,3,1,2,1
b013622,41,남,60,6,1,2,3,1,,4,5,2,1,41,41670,41,41220,41,41820,3,3,3,3,3,6,3,5,경기도,강원,3인 이상 여행(가족 외),2022-10-27~2022-10-27,2,6,8,3
a004301,44,남,30,6,1,1,2,3,,4,5,1,1,11,11440,11,11680,28,28260,6,2,1,4,2,3,3,3,충청남도,서울,2인 여행(가족 외),2022-10-08~2022-10-08,7,5,8,1
a013755,41,여,40,6,1,2,4,2,,1,11,2,2,41,41130,11,11680,11,11110,7,7,4,1,1,1,1,1,경기도,서울,3인 이상 여행(가족 외),2022-10-29~2022-10-29,6,8,7,2
a001464,11,여,40,6,1,2,4,3,,7,12,2,2,41,41290,42,42150,41,41820,2,5,5,2,2,5,5,3,서울특별시,경기,자녀 동반 여행,2022-08-28~2022-08-28,3,8,1,3
a000219,11,여,30,7,1,2,3,3,,6,11,3,2,42,42210,50,50130,42,42150,4,3,2,2,6,6,6,6,서울특별시,경기,자녀 동반 여행,2022-08-27~2022-08-29,2,3,1,2
a001857,48,여,20,7,2,1,3,2,,3,9,3,5,50,50130,26,26230,11,11110,6,1,3,3,2,5,6,6,경상남도,서울,나홀로 여행,2022-09-17~2022-09-18,2,4,1,0
a014793,41,여,40,6,1,2,3,11,,1,6,2,1,11,11140,42,42210,42,42170,6,6,6,6,6,6,6,6,경기도,서울,나홀로 여행,2022-10-31~2022-10-31,7,2,1,0
a006467,41,남,40,7,5,2,4,3,,5,8,1,1,50,50110,46,46130,42,42150,2,1,2,1,1,1,2,5,경기도,경기,3대 동반 여행(친척 포함),2022-10-30~2022-10-30,8,3,7,3
a013881,41,남,20,4,1,1,1,12,,3,,2,1,11,11500,41,41110,26,26500,6,2,2,2,6,3,1,6,경기도,경기,나홀로 여행,2022-10-27~2022-10-29,1,7,,0
d000562,11,여,20,6,1,1,1,3,,4,,3,5,50,50110,26,26350,11,11680,1,1,1,1,2,6,7,7,서울특별시,경기,나홀로 여행,2022-08-29~2022-08-30,2,1,4,0
a007403,11,남,50,6,1,2,3,3,,6,6,2,1,41,41250,41,41830,41,41360,2,2,4,4,2,4,2,4,서울특별시,경기,자녀 동반 여행,2022-10-16~2022-10-16,1,2,3,2
a017669,26,여,30,6,1,2,2,3,,1,6,2,2,30,30140,11,11680,27,27260,7,7,7,1,1,1,1,7,부산광역시,서울,나홀로 여행,2022-11-09~2022-11-09,8,2,1,0
a006004,41,남,50,6,1,2,4,3,,2,6,2,2,41,41280,42,42150,46,46710,2,4,3,2,2,5,2,2,경기도,서울,나홀로 여행,2022-10-08~2022-10-08,1,2,7,0
a007344,11,남,50,6,1,2,4,3,,7,7,2,2,41,41270,41,41610,42,42130,4,1,1,1,1,2,1,7,서울특별시,경기,3인 이상 여행(가족 외),2022-10-16~2022-10-16,2,1,3,2
a002612,41,여,40,6,1,2,5,11,,5,9,2,1,42,42210,50,50130,50,50110,3,2,3,2,3,5,3,5,경기도,서울,자녀 동반 여행,2022-09-30~2022-10-02,8,7,3,4
a002497,11,남,40,7,1,2,2,3,,8,11,2,2,42,42820,41,41670,11,11110,2,6,2,1,2,2,4,3,경기도,경기,3인 이상 여행(가족 외),2022-09-20~2022-09-20,6,1,3,3
a000800,11,남,20,6,1,1,2,,3,1,1,3,4,42,42820,42,42150,42,42210,3,1,1,2,2,6,3,6,서울특별시,경기,2인 여행(가족 외),2022-08-20~2022-08-20,3,,,1
a006044,41,여,30,6,1,2,2,3,,4,7,2,1,41,41480,41,41280,42,42110,5,5,4,5,3,3,3,4,경기도,서울,나홀로 여행,2022-10-16~2022-10-16,1,2,10,0
a018143,50,여,30,5,1,2,4,11,,2,5,2,3,50,50110,50,50130,11,11710,1,6,3,2,6,5,6,3,제주특별자치도,서울,나홀로 여행,2022-11-13~2022-11-13,10,,,0
a007234,11,여,30,6,1,1,4,3,,4,10,2,1,42,42830,41,41360,41,41670,3,2,5,3,3,6,7,7,서울특별시,경기,2인 여행(가족 외),2022-10-08~2022-10-08,3,10,5,1
c002983,29,남,40,5,1,2,3,2,,5,8,2,2,46,46130,11,11680,26,26350,2,2,2,4,3,4,3,4,광주광역시,경기,자녀 동반 여행,2022-10-01~2022-10-03,3,1,7,2
a004284,11,여,40,7,5,2,4,2,,6,11,3,2,45,45110,11,11230,41,41280,6,6,4,1,2,4,3,2,서울특별시,경기,자녀 동반 여행,2022-10-15~2022-10-15,3,1,2,3
a003224,28,남,30,6,1,1,3,4,,4,10,3,2,41,41820,11,11140,42,42720,5,5,2,4,3,3,5,3,인천광역시,경기,나홀로 여행,2022-09-30~2022-09-30,2,1,4,0
a005188,41,여,40,6,1,1,1,3,,3,,2,2,11,11680,41,41190,43,43110,1,1,1,1,1,1,1,4,경기도,서울,나홀로 여행,2022-10-08~2022-10-08,7,2,6,0
a002002,47,여,20,6,5,1,1,3,,4,,2,2,11,11440,26,26110,50,50110,6,2,4,3,3,4,1,6,경상북도,서울,나홀로 여행,2022-09-18~2022-09-19,1,6,2,0
a005631,11,남,30,6,1,2,2,2,,5,8,3,6,42,42150,50,50130,26,26500,2,1,1,1,1,7,2,7,서울특별시,경기,2인 가족 여행,2022-10-09~2022-10-09,3,7,2,1
a001885,41,여,30,5,1,1,4,,3,1,4,3,3,50,50130,42,42210,26,26710,4,4,4,4,4,7,7,7,경기도,서울,나홀로 여행,2022-09-10~2022-09-11,1,4,5,0
a006378,28,남,20,6,1,1,1,3,,5,,2,2,11,11440,50,50110,11,11680,4,4,3,5,5,3,4,5,인천광역시,서울,2인 여행(가족 외),2022-10-08~2022-10-08,7,3,2,1
a008173,41,남,30,6,1,1,3,3,,4,5,3,3,50,50130,42,42210,47,47110,1,1,1,7,1,1,7,1,경기도,서울,나홀로 여행,2022-10-17~2022-10-18,7,1,2,0
a005205,44,남,30,6,1,1,1,13,,1,,2,1,26,26350,11,11680,50,50130,2,6,4,3,4,5,6,4,충청남도,서울,부모 동반 여행,2022-10-02~2022-10-02,8,3,2,1
a002835,11,남,30,6,1,2,3,2,,6,9,2,1,42,42720,41,41820,41,41280,2,3,1,2,4,1,6,6,서울특별시,경기,3인 이상 여행(가족 외),2022-09-24~2022-09-25,2,3,7,4
a002940,28,여,20,5,1,1,3,2,,4,6,1,1,28,28260,11,11230,41,41110,3,7,1,6,1,4,7,5,인천광역시,경기,2인 여행(가족 외),2022-09-29~2022-09-30,8,1,5,0
a018009,11,여,50,5,1,2,2,11,,1,5,3,3,45,45110,42,42210,43,43150,3,4,6,3,1,6,2,6,서울특별시,경기,나홀로 여행,2022-11-10~2022-11-10,1,2,4,1
a001452,11,여,30,5,1,1,2,3,,4,7,4,1,42,42150,41,41820,50,50110,2,2,6,4,7,4,2,6,서울특별시,경기,나홀로 여행,2022-08-28~2022-08-28,5,1,6,0
a012289,11,남,20,6,2,1,3,12,,1,5,2,1,11,11110,41,41170,11,11440,2,2,3,3,3,6,2,6,서울특별시,경기,2인 여행(가족 외),2022-10-28~2022-10-29,1,2,3,1
a001898,11,여,30,6,1,1,2,3,,6,10,3,3,42,42150,42,42210,45,45110,6,2,4,4,4,5,4,4,서울특별시,인천,나홀로 여행,2022-09-08~2022-09-09,2,1,5,3
a008166,41,남,60,6,1,2,2,2,,2,3,2,1,46,46130,42,42210,28,28710,3,3,3,3,2,5,3,5,경기도,인천,3인 이상 여행(가족 외),2022-10-27~2022-10-27,6,4,1,2
a000770,45,남,20,6,1,1,3,,2,1,5,4,2,50,50110,11,11440,42,42770,2,2,1,7,7,2,2,4,전라북도,서울,2인 여행(가족 외),2022-09-05~2022-09-07,1,7,8,1
a011577,28,남,30,6,1,2,2,1,,5,10,2,4,26,26500,43,43110,28,28185,6,6,6,2,4,4,4,6,인천광역시,경기,2인 가족 여행,2022-10-28~2022-10-28,1,3,2,1
a001366,44,남,20,5,1,1,1,9,,2,,3,4,11,11140,30,30110,26,26230,2,1,1,5,6,6,2,3,충청남도,경기,나홀로 여행,2022-08-25~2022-08-27,1,6,7,0
a008397,11,여,40,4,1,2,3,3,,3,7,2,1,41,41570,42,42760,46,46110,4,1,3,2,2,2,2,2,서울특별시,경기,자녀 동반 여행,2022-10-21~2022-10-23,9,1,3,2
a003316,41,여,30,5,1,2,2,4,,5,9,2,2,26,26350,50,50130,45,45800,2,1,3,2,4,1,2,6,경기도,경기,2인 가족 여행,2022-10-01~2022-10-03,3,5,2,1
a015272,26,남,20,6,3,1,3,5,,4,6,2,1,50,50130,47,47130,45,45110,2,2,3,3,4,5,1,3,부산광역시,서울,2인 여행(가족 외),2022-10-29~2022-10-30,7,3,10,1
a007598,41,여,30,6,1,2,4,2,,6,10,2,1,41,41830,41,41820,30,30170,1,1,1,1,1,1,1,7,경기도,서울,나홀로 여행,2022-10-22~2022-10-22,2,4,1,0
a015406,11,남,20,6,1,1,1,2,,4,,2,1,44,44760,30,30200,42,42210,3,2,2,2,5,6,6,2,서울특별시,인천,2인 여행(가족 외),2022-10-30~2022-10-31,3,,,1
a000784,41,여,20,6,2,1,4,,2,3,12,2,1,46,46150,42,42110,42,42830,1,3,1,6,7,6,2,5,경기도,경기,부모 동반 여행,2022-08-19~2022-08-19,1,2,3,3
a000383,11,남,30,6,1,1,3,1,,5,5,2,1,41,41830,42,42210,48,48220,3,1,2,2,4,4,2,6,서울특별시,경기,3인 이상 여행(가족 외),2022-08-19~2022-08-20,1,,,2
a000430,41,여,40,7,5,4,1,2,,4,,2,1,41,41650,42,42720,42,42830,1,2,2,4,3,4,5,2,경기도,경기,2인 여행(가족 외),2022-08-20~2022-08-21,1,3,2,4
a007347,43,여,50,7,1,1,1,2,,4,,1,1,11,11500,44,44150,29,29140,5,4,6,2,5,3,4,5,충청북도,서울,나홀로 여행,2022-10-14~2022-10-14,2,4,,0
a000231,11,남,40,6,1,2,4,2,,10,12,2,2,41,41830,28,28710,50,50110,2,4,3,1,3,5,5,3,서울특별시,경기,3대 동반 여행(친척 포함),2022-09-09~2022-09-09,3,10,,7
a017866,41,여,30,6,1,2,4,3,,2,12,2,2,41,41110,11,11530,11,11545,4,3,4,3,4,4,5,4,경기도,경기,나홀로 여행,2022-11-11~2022-11-11,6,2,8,0
a005559,42,남,20,6,1,1,3,3,,4,10,3,2,42,42230,42,42170,26,26350,3,2,3,2,2,5,3,6,강원도,경기,2인 여행(가족 외),2022-10-15~2022-10-16,3,7,1,1
a003230,30,여,20,6,1,1,1,2,,5,,3,3,11,11170,26,26500,42,42210,6,3,2,5,6,4,3,6,대전광역시,서울,나홀로 여행,2022-09-24~2022-09-25,1,8,7,0
a000975,45,남,30,8,1,1,3,2,,4,12,3,3,26,26350,42,42150,11,11680,4,5,3,3,4,4,3,4,전라북도,서울,2인 여행(가족 외),2022-08-23~2022-08-25,7,10,1,3
a003121,30,남,40,7,1,2,3,2,,6,6,2,1,11,11440,42,42210,43,43110,7,6,2,5,3,2,5,6,대전광역시,서울,2인 여행(가족 외),2022-09-24~2022-09-25,1,3,7,1
a014724,48,여,30,6,1,1,3,3,,1,5,3,4,50,50130,11,11710,26,26350,5,4,3,3,4,3,2,5,경상남도,서울,나홀로 여행,2022-10-28~2022-10-30,1,7,8,0
a008659,47,여,50,4,1,2,3,13,,2,5,3,2,30,30200,26,26710,50,50130,2,1,2,3,4,4,7,6,경상북도,서울,2인 여행(가족 외),2022-10-28~2022-10-30,3,2,1,1
a007079,11,여,20,6,3,1,2,12,,1,2,3,4,50,50130,30,30140,42,42150,5,2,1,1,3,7,5,6,서울특별시,경기,나홀로 여행,2022-10-13~2022-10-13,7,1,2,0
a002760,11,여,20,5,1,1,3,2,,4,12,3,5,48,48220,42,42150,50,50110,1,4,2,6,6,3,6,6,서울특별시,경기,2인 여행(가족 외),2022-09-25~2022-09-26,3,1,2,1
a017665,11,남,20,6,1,1,3,12,,2,3,3,4,41,41150,42,42230,42,42150,4,5,5,5,6,5,4,5,서울특별시,경기,나홀로 여행,2022-11-11~2022-11-11,5,2,6,0
a007655,41,여,40,7,1,1,1,2,,2,,2,2,11,11110,41,41170,47,47130,3,3,3,5,3,3,3,5,경기도,경기,나홀로 여행,2022-10-15~2022-10-15,8,7,10,0
a001415,44,남,30,8,2,2,4,10,,7,7,2,1,42,42150,50,50130,50,50110,4,2,2,3,3,4,2,4,충청남도,서울,자녀 동반 여행,2022-08-26~2022-08-28,3,1,7,3
a005678,28,여,20,5,1,1,4,3,,3,12,3,3,26,26500,50,50110,50,50130,2,2,2,2,2,6,6,7,인천광역시,서울,2인 여행(가족 외),2022-10-08~2022-10-08,5,1,,0
a001764,11,남,20,4,1,1,3,,2,3,8,2,1,11,11710,50,50110,41,41450,7,7,5,1,1,1,7,7,서울특별시,경기,나홀로 여행,2022-09-12~2022-09-12,2,7,6,0
a007945,11,여,30,6,1,1,1,3,,5,,2,1,42,42210,50,50110,26,26350,5,4,2,3,6,4,6,4,서울특별시,경기,3인 이상 여행(가족 외),2022-10-21~2022-10-21,7,1,8,2
a000851,48,여,40,4,1,2,4,3,,4,9,3,5,50,50110,26,26710,11,11110,4,4,4,5,5,5,6,5,경상남도,서울,자녀 동반 여행,2022-08-20~2022-08-21,3,1,8,3
a014835,26,여,30,6,1,1,4,2,,4,6,3,1,48,48310,46,46130,50,50130,4,1,4,4,1,4,7,4,부산광역시,서울,2인 여행(가족 외),2022-10-29~2022-11-01,7,3,2,1
a003046,41,남,40,6,1,2,2,2,,9,12,1,1,41,41830,42,42760,50,50130,4,5,4,1,1,5,6,6,경기도,경기,2인 가족 여행,2022-09-24~2022-09-24,3,9,1,1
a007078,41,여,20,6,2,1,4,12,,1,1,3,5,50,50130,26,26170,42,42150,6,3,2,5,6,2,3,6,경기도,인천,2인 여행(가족 외),2022-10-17~2022-10-17,1,3,7,1
a004612,41,남,30,4,1,1,3,8,,1,4,1,1,11,11305,42,42150,46,46130,1,1,1,1,7,6,6,7,경기도,인천,2인 여행(가족 외),2022-10-02~2022-10-03,1,3,5,1
a008134,11,남,30,6,1,1,4,2,,5,11,2,1,42,42820,11,11680,50,50130,1,1,2,2,4,1,4,6,서울특별시,경기,나홀로 여행,2022-10-15~2022-10-15,5,,,0
a009629,41,남,20,4,1,1,1,10,,3,,3,4,41,41360,41,41650,50,50110,4,4,4,4,4,4,4,4,경기도,경기,3인 이상 여행(가족 외),2022-10-29~2022-10-30,1,2,10,2
a006537,41,남,20,6,2,1,2,12,,2,2,2,1,11,11680,11,11110,27,27110,7,1,2,2,3,3,6,3,경기도,경기,2인 여행(가족 외),2022-10-10~2022-10-10,1,3,9,1
a007406,11,여,30,6,1,1,4,2,,4,8,2,1,50,50130,50,50110,42,42750,4,2,1,2,3,2,2,6,서울특별시,경기,나홀로 여행,2022-10-30~2022-10-30,2,4,1,0
a006424,41,여,30,6,1,1,1,3,,3,,1,2,11,11440,11,11680,41,41110,3,5,4,2,3,3,2,2,경기도,서울,나홀로 여행,2022-10-16~2022-10-16,7,1,2,0
a000165,11,남,20,6,2,1,1,3,,2,,3,3,26,26350,47,47110,41,41820,1,1,2,4,1,3,6,6,서울특별시,경기,2인 여행(가족 외),2022-08-20~2022-08-21,2,7,1,1
a002891,11,남,30,6,1,2,2,2,,4,6,2,2,50,50130,46,46130,48,48240,2,2,2,3,1,6,2,7,서울특별시,경기,2인 가족 여행,2022-10-03~2022-10-03,2,1,7,1
a004269,11,남,50,7,1,2,3,2,,12,12,2,1,42,42150,28,28710,29,29170,6,6,6,2,2,6,6,6,서울특별시,경기,자녀 동반 여행,2022-10-09~2022-10-09,1,2,,2
a004100,26,여,20,6,3,1,2,12,,1,9,3,3,50,50110,46,46910,42,42210,4,2,3,3,2,5,5,6,부산광역시,서울,나홀로 여행,2022-10-04~2022-10-06,1,2,5,0
a018132,11,남,30,6,4,4,3,3,,5,7,2,2,42,42210,41,41290,28,28710,2,1,2,3,4,4,1,3,서울특별시,경기,2인 여행(가족 외),2022-11-12~2022-11-12,1,2,3,1
a004205,11,여,20,4,1,1,2,3,,4,6,3,6,42,42150,50,50130,11,11440,2,3,2,2,6,4,5,5,서울특별시,경기,2인 여행(가족 외),2022-10-01~2022-10-01,3,2,1,1
a001293,41,여,20,6,1,1,5,,3,1,6,2,1,11,11110,27,27110,50,50130,7,1,4,5,6,4,5,5,부산광역시,서울,3인 이상 여행(가족 외),2022-09-03~2022-09-04,1,3,8,3
a010370,11,여,40,6,1,2,4,5,,3,9,2,1,42,42150,41,41650,41,41450,4,4,5,3,4,4,4,4,서울특별시,경기,자녀 동반 여행,2022-10-23~2022-10-23,3,2,1,3
a006987,42,남,20,5,3,1,4,12,,1,3,4,2,11,11110,11,11440,11,11680,5,3,1,6,5,4,1,5,강원도,서울,나홀로 여행,2022-10-21~2022-10-21,7,4,2,0
a003753,11,여,30,6,1,1,1,2,,5,,3,3,50,50110,26,26350,47,47130,4,2,1,3,3,2,6,5,서울특별시,경기,2인 여행(가족 외),2022-10-01~2022-10-02,2,3,4,1
a006264,11,여,40,6,1,2,3,3,,4,6,3,4,42,42150,41,41360,41,41480,2,6,2,5,2,6,6,6,서울특별시,경기,자녀 동반 여행,2022-10-08~2022-10-08,3,7,1,2
a001440,44,여,50,6,1,2,1,11,,6,,2,3,46,46870,41,41220,29,29200,1,1,6,6,6,5,4,4,충청남도,경기,2인 여행(가족 외),2022-09-17~2022-09-19,6,2,8,0
a007364,11,여,20,6,1,1,2,2,,4,6,2,1,11,11680,50,50110,41,41480,6,6,1,3,6,6,1,7,서울특별시,경기,2인 가족 여행,2022-10-16~2022-10-16,5,3,1,1
a004788,41,남,30,8,2,1,1,2,,6,,2,1,42,42830,41,41370,27,27260,3,3,2,4,4,2,4,5,경기도,서울,2인 여행(가족 외),2022-10-14~2022-10-15,3,2,1,1
a004679,11,남,40,8,1,2,4,2,,12,12,3,4,41,41360,50,50130,42,42110,3,3,4,5,2,3,5,1,서울특별시,경기,자녀 동반 여행,2022-10-02~2022-10-02,3,5,10,3
a015688,41,남,30,6,1,2,3,2,,6,6,3,6,41,41480,45,45110,27,27230,4,4,2,4,6,5,6,6,경기도,경기,나홀로 여행,2022-10-30~2022-10-31,1,7,10,0
a004255,41,여,50,6,1,4,3,2,,3,4,1,3,47,47130,26,26350,50,50110,4,3,1,3,4,6,1,5,경기도,경기,자녀 동반 여행,2022-09-30~2022-09-30,7,1,2,2
a001861,50,여,40,6,1,1,1,4,,3,,1,2,11,11440,50,50130,45,45110,5,1,7,1,1,1,1,5,제주특별자치도,서울,나홀로 여행,2022-09-18~2022-09-19,2,1,8,0
a015650,41,여,20,6,2,1,1,12,,2,,2,1,26,26350,11,11110,42,42150,3,2,2,3,6,5,1,6,경기도,서울,2인 여행(가족 외),2022-10-30~2022-10-31,3,1,7,1
a002885,28,남,30,6,1,2,2,3,,4,6,3,3,42,42150,41,41480,50,50130,2,1,2,3,3,4,1,6,인천광역시,경기,2인 가족 여행,2022-10-02~2022-10-02,3,2,1,1
a003380,41,여,40,5,1,2,2,2,,12,12,2,1,50,50130,50,50110,42,42820,1,1,1,4,4,1,3,5,경기도,경기,나홀로 여행,2022-10-11~2022-10-11,1,6,7,0
a007196,11,여,30,6,1,2,3,3,,4,7,3,6,42,42150,41,41830,26,26350,2,2,2,2,4,5,5,5,서울특별시,경기,자녀 동반 여행,2022-10-16~2022-10-16,1,7,3,2
a007784,36,여,50,5,4,2,3,2,,4,7,3,4,50,50130,42,42820,48,48840,1,1,2,2,1,4,1,6,세종특별자치시,경기,나홀로 여행,2022-10-22~2022-10-22,4,1,2,0
a008211,41,남,30,6,1,1,1,2,,2,,3,2,42,42210,11,11110,50,50110,5,2,2,5,2,7,7,1,경기도,서울,나홀로 여행,2022-10-21~2022-10-23,7,,,0
a004305,41,여,20,6,2,1,3,3,,4,6,3,3,50,50130,26,26350,28,28710,6,2,2,2,2,4,5,2,경기도,서울,나홀로 여행,2022-10-24~2022-10-24,2,5,1,0
a007337,36,여,20,6,1,1,4,3,,3,9,2,4,42,42210,11,11440,26,26350,1,1,1,1,7,6,7,6,세종특별자치시,서울,2인 여행(가족 외),2022-10-09~2022-10-09,3,1,7,1
a006611,41,여,30,6,1,2,2,3,,3,8,2,3,50,50130,41,41460,42,42210,2,1,3,2,3,2,3,6,경기도,경기,2인 여행(가족 외),2022-10-15~2022-10-15,3,1,2,1
a012433,11,여,40,5,5,2,2,3,,4,8,3,4,50,50110,50,50130,26,26350,2,3,3,5,5,3,1,7,서울특별시,경기,2인 가족 여행,2022-10-29~2022-10-30,2,,,1
a002619,46,남,40,8,1,1,1,2,,7,,2,2,11,11110,11,11230,11,11500,4,4,4,4,4,4,7,7,전라남도,서울,나홀로 여행,2022-09-23~2022-09-25,6,2,7,0
a017930,27,여,30,6,1,1,4,13,,1,5,4,1,26,26500,47,47110,11,11560,2,4,2,5,4,4,6,6,대구광역시,서울,나홀로 여행,2022-11-13~2022-11-13,6,2,1,0
a011521,41,남,40,6,1,2,1,3,,7,,3,3,42,42830,41,41110,43,43110,6,6,6,2,4,6,6,2,경기도,인천,2인 가족 여행,2022-11-05~2022-11-06,1,2,3,1
a018152,41,여,20,6,2,1,3,2,,4,4,2,1,50,50130,50,50110,26,26350,5,2,2,5,6,5,2,5,경기도,서울,3인 이상 여행(가족 외),2022-11-12~2022-11-12,1,3,7,2
a001835,11,여,40,6,1,1,1,3,,7,,3,10,42,42760,42,42150,41,41390,2,2,2,3,1,2,2,4,서울특별시,경기,나홀로 여행,2022-09-24~2022-09-25,2,1,7,0
a011212,11,여,30,6,1,1,1,3,,4,,3,6,48,48120,41,41820,26,26350,3,2,2,3,5,5,6,6,서울특별시,경기,2인 여행(가족 외),2022-10-22~2022-10-23,3,7,1,1
a017830,11,남,20,6,1,1,1,2,,3,,3,40,46,46130,26,26320,29,29110,3,1,3,6,1,1,2,7,서울특별시,경기,2인 여행(가족 외),2022-11-13~2022-11-13,7,3,10,1
a015333,41,여,40,5,1,2,4,3,,3,6,3,8,42,42170,43,43800,44,44825,3,3,3,3,3,4,2,6,경기도,서울,3인 이상 여행(가족 외),2022-10-29~2022-10-29,1,3,2,3
a014920,41,여,40,6,1,2,3,3,,9,12,2,3,11,11680,50,50130,42,42150,6,3,3,4,5,5,2,6,서울특별시,경기,3인 이상 여행(가족 외),2022-10-30~2022-10-30,8,3,5,5
a005626,41,남,40,5,1,2,3,3,,6,6,2,1,42,42150,26,26350,41,41390,1,1,1,3,4,7,1,4,경기도,인천,3대 동반 여행(친척 포함),2022-10-09~2022-10-09,1,3,2,7
a007716,11,남,40,7,1,2,4,1,,6,6,2,1,41,41820,41,41650,44,44825,2,4,4,5,6,6,2,4,서울특별시,경기,2인 여행(가족 외),2022-10-22~2022-10-22,3,6,1,1
a003364,26,여,30,6,1,2,3,11,,1,4,2,1,50,50110,42,42760,48,48310,3,2,2,4,5,5,2,6,부산광역시,서울,자녀 동반 여행,2022-10-16~2022-10-18,8,1,3,2
a017848,41,여,40,6,1,1,1,3,,4,,2,2,42,42210,26,26350,42,42150,3,1,3,4,3,3,6,6,경기도,인천,나홀로 여행,2022-11-12~2022-11-12,1,5,7,0
a000290,11,여,20,6,1,1,1,2,,7,,2,2,42,42210,42,42170,41,41820,2,1,2,1,2,2,6,7,서울특별시,경기,3인 이상 여행(가족 외),2022-08-24~2022-08-25,3,1,5,3
a001881,28,여,30,6,1,1,4,,3,1,10,3,2,11,11680,11,11440,11,11110,7,4,1,1,2,7,2,7,인천광역시,서울,나홀로 여행,2022-09-18~2022-09-19,1,2,6,0
a002960,41,여,40,7,1,2,5,2,,4,10,2,1,42,42210,27,27290,41,41270,2,2,2,1,6,4,4,4,경기도,경기,나홀로 여행,2022-09-28~2022-09-28,4,8,1,0
a009437,11,남,30,6,1,2,2,7,,6,10,2,1,50,50130,42,42230,41,41820,1,1,4,1,1,3,1,6,서울특별시,경기,2인 가족 여행,2022-10-29~2022-10-30,2,3,7,3
a002215,28,남,40,6,1,1,3,4,,3,5,3,9,28,28720,41,41830,44,44210,2,2,2,5,4,4,2,4,경기도,경기,나홀로 여행,2022-09-24~2022-09-25,1,4,2,0
a005137,11,남,30,5,1,1,4,2,,5,11,3,6,43,43760,42,42210,50,50110,2,1,2,2,3,1,1,4,서울특별시,경기,2인 여행(가족 외),2022-10-08~2022-10-08,6,1,,1
a000563,11,남,30,6,1,1,3,,3,7,7,3,2,29,29200,41,41820,41,41390,1,1,1,1,1,4,1,4,서울특별시,경기,3인 이상 여행(가족 외),2022-08-19~2022-08-20,3,2,1,8
a017977,11,여,40,7,1,2,3,2,,2,6,2,1,41,41280,42,42150,48,48310,1,4,4,4,4,3,6,5,서울특별시,경기,자녀 동반 여행,2022-11-12~2022-11-12,3,2,1,2
a013587,11,남,40,4,1,1,1,13,,1,,2,2,41,41820,41,41830,42,42110,1,4,4,4,4,4,4,4,서울특별시,경기,나홀로 여행,2022-10-29~2022-10-29,1,6,8,0
a003201,11,여,20,6,1,1,4,12,,4,7,3,5,42,42210,41,41820,50,50110,1,1,1,5,1,7,1,3,서울특별시,경기,2인 여행(가족 외),2022-10-02~2022-10-03,1,7,3,1
a000198,41,여,30,6,1,1,3,,3,2,12,3,2,50,50130,50,50110,26,26350,3,1,2,2,4,4,3,4,경기도,서울,나홀로 여행,2022-08-16~2022-08-18,7,1,2,1
a005577,41,남,20,6,1,1,1,2,,9,,2,1,50,50110,50,50130,26,26350,2,2,2,1,2,1,7,1,경기도,서울,나홀로 여행,2022-10-09~2022-10-10,1,4,7,0
a005095,41,여,40,7,1,2,3,3,,4,7,2,1,11,11110,42,42150,50,50110,7,1,1,1,4,7,1,4,경기도,서울,3인 이상 여행(가족 외),2022-10-10~2022-10-10,7,3,2,2
a006028,11,여,20,6,1,1,3,3,,4,8,3,3,42,42110,42,42170,41,41820,1,1,1,4,3,7,2,7,서울특별시,경기,2인 여행(가족 외),2022-10-03~2022-10-03,2,7,4,1
a014163,11,여,60,6,1,2,2,11,,1,2,2,1,42,42830,48,48220,46,46130,2,2,2,4,5,2,4,6,서울특별시,경기,2인 가족 여행,2022-10-28~2022-10-28,1,2,3,1
a003249,26,여,30,6,1,2,4,11,,1,5,2,2,11,11410,43,43130,26,26710,1,1,1,4,1,1,5,7,부산광역시,서울,자녀 동반 여행,2022-10-07~2022-10-09,8,1,3,2
a006007,11,여,60,6,1,1,1,3,,5,,3,5,50,50130,42,42820,26,26350,1,1,1,1,4,4,4,7,서울특별시,경기,나홀로 여행,2022-10-10~2022-10-10,8,1,7,0
a006723,41,남,40,6,1,5,2,5,,5,8,2,2,42,42150,41,41830,44,44180,2,4,4,4,4,3,3,5,경기도,경기,2인 여행(가족 외),2022-10-08~2022-10-08,2,1,7,0
